symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
META,death_cross,0,22.1,1545.2,672.07,672.3,False,True,636.22,success
REGN,golden_cross,0,1.1,80.0,643.21,641.37,True,False,787.32,success
EIDO,golden_cross,0,0.4,,18.14,18.12,True,False,18.73,success
FEPI,death_cross,0,0.2,,46.69,46.7,False,True,44.69,success
JPMpM,death_cross,0,0.1,,18.69,18.7,False,True,18.25,success
WFCpZ,death_cross,0,0.2,,19.75,19.75,False,True,19.63,success
HMC,death_cross,0,0.9,38.7,30.79,30.82,False,True,29.96,success
